CENSUS_YEAR	GEO_CODE (POR)	GEO_LEVEL	GEO_NAME	GNR	GNR_LF	DATA_QUALITY_FLAG	ALT_GEO_CODE	DIM: Profile of Forward Sortation Areas (2247)	Member ID: Profile of Forward Sortation Areas (2247)	Notes: Profile of Forward Sortation Areas (2247)	Dim: Sex (3): Member ID: [1]: Total - Sex	Dim: Sex (3): Member ID: [2]: Male	Dim: Sex (3): Member ID: [3]: Female
2016	01	0	Canada	4	5.1	20000	01	Total - Age groups and average age of the population - 100% data	8	5	35151730	17264200	17887525
2016	01	0	Canada	4	5.1	20000	01	15 to 19 years	14	NA	2026155	1039215	986945
2016	01	0	Canada	4	5.1	20000	01	20 to 24 years	15	NA	2242690	1144495	1098200
2016	01	0	Canada	4	5.1	20000	01	25 to 29 years	16	NA	2285990	1144475	1141515
2016	01	0	Canada	4	5.1	20000	01	30 to 34 years	17	NA	2329400	1148290	1181105
2016	01	0	Canada	4	5.1	20000	01	35 to 39 years	18	NA	2288365	1118635	1169730
2016	01	0	Canada	4	5.1	20000	01	40 to 44 years	19	NA	2255135	1104445	1150695
2016	01	0	Canada	4	5.1	20000	01	45 to 49 years	20	NA	2359965	1157755	1202205
2016	01	0	Canada	4	5.1	20000	01	50 to 54 years	21	NA	2678075	1318755	1359320
2016	01	0	Canada	4	5.1	20000	01	55 to 59 years	22	NA	2620240	1285190	1335055
2016	01	0	Canada	4	5.1	20000	01	60 to 64 years	23	NA	2290515	1114880	1175630
2016	01	0	Canada	4	5.1	20000	01	65 years and over	24	NA	5935630	2695150	3240485
2016	01	0	Canada	4	5.1	20000	01	No certificate, diploma or degree	1684	NA	5239575	2667995	2571585
2016	01	0	Canada	4	5.1	20000	01	Secondary (high) school diploma or equivalency certificate	1685	179	7576400	3686635	3889765
2016	01	0	Canada	4	5.1	20000	01	Apprenticeship or trades certificate or diploma	1687	NA	2800260	1906610	893650
2016	01	0	Canada	4	5.1	20000	01	College, CEGEP or other non-university certificate or diploma	1690	NA	5553825	2326940	3226890
2016	01	0	Canada	4	5.1	20000	01	University certificate or diploma below bachelor level	1691	NA	813335	331940	481390
2016	01	0	Canada	4	5.1	20000	01	Bachelor's degree	1693	NA	4443840	1967905	2475930
2016	01	0	Canada	4	5.1	20000	01	University certificate or diploma above bachelor level	1694	NA	462295	203725	258570
2016	01	0	Canada	4	5.1	20000	01	Degree in medicine, dentistry, veterinary medicine or optometry	1695	NA	190925	102530	88395
2016	01	0	Canada	4	5.1	20000	01	Master's degree	1696	NA	1331045	651515	679535
2016	01	0	Canada	4	5.1	20000	01	Earned doctorate	1697	182	231515	144640	86870
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	Total - Age groups and average age of the population - 100% data	8	5	46590	22850	23740
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	15 to 19 years	14	NA	2375	1255	1120
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	20 to 24 years	15	NA	2015	1010	1005
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	25 to 29 years	16	NA	1995	990	1010
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	30 to 34 years	17	NA	2275	1090	1185
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	35 to 39 years	18	NA	2555	1215	1340
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	40 to 44 years	19	NA	3085	1520	1565
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	45 to 49 years	20	NA	3340	1650	1695
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	50 to 54 years	21	NA	3990	1935	2055
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	55 to 59 years	22	NA	4175	2055	2125
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	60 to 64 years	23	NA	4165	2035	2130
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	65 years and over	24	NA	9925	4720	5205
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	No certificate, diploma or degree	1684	NA	9525	4885	4640
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	Secondary (high) school diploma or equivalency certificate	1685	179	9975	4490	5485
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	Apprenticeship or trades certificate or diploma	1687	NA	5675	4195	1480
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	College, CEGEP or other non-university certificate or diploma	1690	NA	9395	3790	5610
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	University certificate or diploma below bachelor level	1691	NA	940	365	575
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	Bachelor's degree	1693	NA	2520	945	1580
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	University certificate or diploma above bachelor level	1694	NA	180	90	90
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	Degree in medicine, dentistry, veterinary medicine or optometry	1695	NA	35	20	10
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	Master's degree	1696	NA	755	275	480
2016	A0A	2	A0A	4.2	9.1	00000	01A0A	Earned doctorate	1697	182	70	50	20
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	Total - Age groups and average age of the population - 100% data	8	5	19795	9855	9935
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	15 to 19 years	14	NA	955	500	450
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	20 to 24 years	15	NA	770	430	335
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	25 to 29 years	16	NA	645	335	310
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	30 to 34 years	17	NA	700	315	385
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	35 to 39 years	18	NA	810	405	405
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	40 to 44 years	19	NA	1050	510	540
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	45 to 49 years	20	NA	1430	680	750
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	50 to 54 years	21	NA	1755	895	860
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	55 to 59 years	22	NA	2020	985	1035
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	60 to 64 years	23	NA	2195	1115	1085
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	65 years and over	24	NA	5370	2620	2745
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	No certificate, diploma or degree	1684	NA	5105	2660	2445
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	Secondary (high) school diploma or equivalency certificate	1685	179	4435	1980	2460
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	Apprenticeship or trades certificate or diploma	1687	NA	2575	1895	675
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	College, CEGEP or other non-university certificate or diploma	1690	NA	3830	1605	2225
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	University certificate or diploma below bachelor level	1691	NA	475	160	310
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	Bachelor's degree	1693	NA	765	275	485
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	University certificate or diploma above bachelor level	1694	NA	70	35	35
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	Degree in medicine, dentistry, veterinary medicine or optometry	1695	NA	40	20	15
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	Master's degree	1696	NA	240	90	155
2016	A0B	2	A0B	4.1	10.1	00010	01A0B	Earned doctorate	1697	182	10	10	0
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	Total - Age groups and average age of the population - 100% data	8	5	12585	6185	6400
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	15 to 19 years	14	NA	575	290	285
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	20 to 24 years	15	NA	435	240	195
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	25 to 29 years	16	NA	370	180	190
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	30 to 34 years	17	NA	540	265	275
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	35 to 39 years	18	NA	545	270	275
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	40 to 44 years	19	NA	760	360	400
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	45 to 49 years	20	NA	945	450	495
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	50 to 54 years	21	NA	1145	560	590
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	55 to 59 years	22	NA	1300	655	645
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	60 to 64 years	23	NA	1310	645	665
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	65 years and over	24	NA	3245	1525	1720
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	No certificate, diploma or degree	1684	NA	3525	1665	1865
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	Secondary (high) school diploma or equivalency certificate	1685	179	3090	1445	1645
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	Apprenticeship or trades certificate or diploma	1687	NA	1240	970	275
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	College, CEGEP or other non-university certificate or diploma	1690	NA	2115	920	1195
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	University certificate or diploma below bachelor level	1691	NA	290	115	175
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	Bachelor's degree	1693	NA	365	135	230
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	University certificate or diploma above bachelor level	1694	NA	35	20	10
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	Degree in medicine, dentistry, veterinary medicine or optometry	1695	NA	0	0	0
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	Master's degree	1696	NA	135	60	75
2016	A0C	2	A0C	4.1	8.6	00000	01A0C	Earned doctorate	1697	182	15	10	10
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	Total - Age groups and average age of the population - 100% data	8	5	22295	11055	11240
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	15 to 19 years	14	NA	1165	625	540
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	20 to 24 years	15	NA	900	485	415
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	25 to 29 years	16	NA	785	405	385
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	30 to 34 years	17	NA	930	450	475
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	35 to 39 years	18	NA	1090	500	590
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	40 to 44 years	19	NA	1385	640	745
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	45 to 49 years	20	NA	1770	900	870
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	50 to 54 years	21	NA	1980	970	1010
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	55 to 59 years	22	NA	2020	960	1060
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	60 to 64 years	23	NA	2250	1170	1080
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	65 years and over	24	NA	5265	2520	2745
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	No certificate, diploma or degree	1684	NA	6165	2990	3180
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	Secondary (high) school diploma or equivalency certificate	1685	179	3920	1455	2470
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	Apprenticeship or trades certificate or diploma	1687	NA	3050	2375	680
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	College, CEGEP or other non-university certificate or diploma	1690	NA	4555	2075	2475
2016	A0E	2	A0E	4.2	8.1	00000	01A0E	University certificate or diploma below bachelor level	1691	NA	490	235	260
