ID,Politics_Today,Vaccine_Willingness,Financial_Security,Conflict_1,Conflict_2,Conflict_3,Authoritarian_1,Authoritarian_2,Authoritarian_3,Authoritarian_4,YOB,FSA,Age,Gender,Education,Income,Children,Home_Ownership,Region,Rural_FSA
38,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1952,S4X,55+,Male,Bachelors,"$150,000 - $199,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
39,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Respect for elders,Obedience,Creative,Curiosity,1989,R3E,18-34,Female,Advanced,"0 - $34,999",Yes,Rented (even if no cash rent is paid)?,Prairies,No
40,Liberal Party led by Justin Trudeau,Very willing,NA,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Obedience,Well-behaved,Good manners,1959,M1B,55+,Male,Bachelors,NA,Yes,Rented (even if no cash rent is paid)?,Ontario,No
41,Undecided/unsure,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Well-behaved,Good manners,1958,V9V,55+,Female,HS,"$70,000 - $99,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,BC,No
42,Green Party led by Annamie Paul,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Obedience,Creative,Good manners,1979,V6Y,35-54,Male,Bachelors,"$70,000 - $99,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,BC,No
43,NDP led by Jagmeet Singh,Somewhat willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1980,K1T,35-54,Female,Bachelors,"$150,000 - $199,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
44,Liberal Party led by Justin Trudeau,NA,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1961,M4E,55+,Female,HS,"$70,000 - $99,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
45,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1945,T3J,55+,Female,Bachelors,"0 - $34,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Prairies,No
46,Liberal Party led by Justin Trudeau,Somewhat willing,No,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are too large and we cannot come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Creative,Curiosity,1982,M4S,35-54,Female,Bachelors,"0 - $34,999",No,Rented (even if no cash rent is paid)?,Ontario,No
47,Undecided/unsure,NA,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1963,N8X,55+,Male,HS,"0 - $34,999",Yes,Rented (even if no cash rent is paid)?,Ontario,No
48,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Creative,Curiosity,1954,V9R,55+,Female,Bachelors,"$35,000 - $49,999",No,Owned by you or a member of your household (even if it is still being paid for)?,BC,No
50,Liberal Party led by Justin Trudeau,Somewhat willing,Yes,People who share my views should stick to their beliefs and fight for what they believe in,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Independence,Self-reliance,Creative,Curiosity,1992,M3N,18-34,Male,Bachelors,"$100,000 - $149,999",No,Rented (even if no cash rent is paid)?,Ontario,No
51,Undecided/unsure,Not too willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Good manners,1983,N5Y,35-54,Female,Bachelors,"0 - $34,999",No,Rented (even if no cash rent is paid)?,Ontario,No
52,Conservative Party led by Erin O’Toole,NA,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1950,M2R,55+,Male,College,"0 - $34,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
53,Liberal Party led by Justin Trudeau,Very willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1952,L6T,55+,Male,HS,"$35,000 - $49,999",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
54,Undecided/unsure,Somewhat willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together",Some people’s beliefs are so unlike mine that I don’t think we could ever have anything in common,Independence,Self-reliance,Well-behaved,Good manners,1963,V4K,55+,Female,Bachelors,NA,Yes,Owned by you or a member of your household (even if it is still being paid for)?,BC,No
55,NDP led by Jagmeet Singh,Not too willing,Yes,People who share my views need to be willing to listen to others and compromise,"In Canada, our differences are not so large and we can come together","I seek to find common understanding with others, even if we have different beliefs",Respect for elders,Self-reliance,Creative,Curiosity,1975,L4B,35-54,Male,Bachelors,"$200,000 and over",Yes,Owned by you or a member of your household (even if it is still being paid for)?,Ontario,No
